time_s,phi_rad,sigma_phi_rad
20.18086075,-1.20783460282916,0.01088139281828074
20.380962,-1.7519042437432,0.01088139281828074
20.58191725,-1.58868335146899,0.01088139281828074
20.780374,-0.772578890097932,0.01088139281828074
20.98150325,0.369967355821545,0.01088139281828074
21.18063525,1.33841131664853,0.01088139281828074
21.38065175,1.76278563656148,0.01088139281828074
21.58079175,1.4689880304679,0.01088139281828074
21.78106125,0.565832426550599,0.01088139281828074
21.98186075,-0.576713819368879,0.01088139281828074
22.18264075,-1.4689880304679,0.01088139281828074
22.38132975,-1.76278563656148,0.01088139281828074
22.58076075,-1.34929270946681,0.01088139281828074
22.78079525,-0.369967355821545,0.01088139281828074
22.98098325,0.750816104461371,0.01088139281828074
23.179812,1.55603917301415,0.01088139281828074
23.38188125,1.73014145810664,0.01088139281828074
23.58042175,1.19695321001088,0.01088139281828074
23.78097825,0.163220892274211,0.01088139281828074
23.981594,-0.935799782372144,0.01088139281828074
24.18011075,-1.64309031556039,0.01088139281828074
24.3818315,-1.68661588683351,0.01088139281828074
24.5806345,-1.04461371055495,0.01088139281828074
24.780339,0.0217627856365615,0.01088139281828074
24.98157725,1.08813928182807,0.01088139281828074
25.18172325,1.6974972796518,0.01088139281828074
25.38115075,1.59956474428727,0.01088139281828074
25.58102,0.848748639825898,0.01088139281828074
25.780978,-0.239390642002176,0.01088139281828074
25.981609,-1.240478781284,0.01088139281828074
26.18079775,-1.73014145810664,0.01088139281828074
26.381617,-1.51251360174102,0.01088139281828074
26.581139,-0.674646354733406,0.01088139281828074
26.7805965,0.43525571273123,0.01088139281828074
26.98116875,1.37105549510337,0.01088139281828074
27.181156,1.73014145810664,0.01088139281828074
27.38227925,1.38193688792165,0.01088139281828074
27.581196,0.478781284004353,0.01088139281828074
27.781216,-0.631120783460283,0.01088139281828074
27.98057675,-1.47986942328618,0.01088139281828074
28.18111775,-1.71926006528836,0.01088139281828074
28.38002875,-1.27312295973885,0.01088139281828074
28.58063775,-0.282916213275299,0.01088139281828074
28.78091725,0.805223068552775,0.01088139281828074
28.98122175,1.56692056583243,0.01088139281828074
29.180778,1.67573449401523,0.01088139281828074
29.38087775,1.10990206746464,0.01088139281828074
29.665223,-0.391730141458107,0.01088139281828074
29.8325615,-1.20783460282916,0.01088139281828074
29.99920075,-1.67573449401523,0.01088139281828074
30.18052225,-1.63220892274211,0.01088139281828074
30.3813025,-0.946681175190424,0.01088139281828074
30.580638,0.108813928182807,0.01088139281828074
30.78115075,1.1316648531012,0.01088139281828074
30.98009675,1.67573449401523,0.01088139281828074
31.180796,1.54515778019586,0.01088139281828074
31.38113075,0.761697497279652,0.01088139281828074
31.581021,-0.326441784548422,0.01088139281828074
31.7810815,-1.28400435255713,0.01088139281828074
31.981052,-1.70837867247008,0.01088139281828074
32.18101775,-1.44722524483134,0.01088139281828074
32.38115075,-0.58759521218716,0.01088139281828074
32.58153625,0.511425462459195,0.01088139281828074
32.781032,1.39281828073993,0.01088139281828074
32.981852,1.6974972796518,0.01088139281828074
33.18152,1.30576713819369,0.01088139281828074
33.38060875,0.391730141458107,0.01088139281828074
33.581556,-0.707290533188248,0.01088139281828074
33.78183675,-1.50163220892274,0.01088139281828074
33.981496,-1.67573449401523,0.01088139281828074
34.181779,-1.17519042437432,0.01088139281828074
34.3817545,-0.195865070729053,0.01088139281828074
34.581175,0.870511425462459,0.01088139281828074
34.7821,1.56692056583243,0.01088139281828074
34.98167775,1.63220892274211,0.01088139281828074
35.180516,1.02285092491839,0.01088139281828074
35.3817125,-0.0217627856365615,0.01088139281828074
35.58257225,-1.04461371055495,0.01088139281828074
35.7801945,-1.63220892274211,0.01088139281828074
